Last Name,First Name,Team,SPG
Chabot,Thomas,OTT,925000.00
Ceci,Cody,OTT,28481.01
Okposo,Kyle,BUF,123076.92
Gudbranson,Erik,VAN,116666.67
Wilson,Tom,WSH,21341.46
Campbell,Brian,CHI,18750.00
Rodin,Anton,VAN,316666.67
Rodrigues,Evan,BUF,28083.33
Smith-Pelly,Devante,N.J,23584.91
Peca,Matthew,T.B,92500.00
Desjardins,Andrew,CHI,17391.30
Chaput,Michael,VAN,8823.53
White,Ryan,ARI/MIN,15384.62
Bennett,Sam,CGY,11419.75
Sceviour,Colton,FLA,11875.00
Kulak,Brett,CGY,32380.95
Wilson,Scott,PIT,7564.10
Beck,Taylor,EDM/NYR,130000.00
Polak,Roman,TOR,30000.00
Helgeson,Seth,N.J,66666.67
Rielly,Morgan,TOR,65789.47
Schwartz,Jaden,STL,67307.69
Nylander,William,TOR,11419.75
Sustr,Andrej,T.B,20000.00
Carlo,Brandon,BOS,8750.00
Pastrnak,David,BOS,12333.33
Jost,Tyson,COL,150000.00
Perron,David,STL,45731.71
Sundqvist,Oskar,PIT,79250.00
Schaller,Tim,BOS,10169.49
Schenn,Brayden,PHI,75949.37
Faulk,Justin,CAR,73333.33
Cramarossa,Joseph,ANA/VAN,12279.66
Carr,Daniel,MTL,21969.70
Gudas,Radko,PHI,59701.49
Bourque,Gabriel,COL,133333.33
Josi,Roman,NSH,59027.78
Slavin,Jaccob,CAR,9054.88
Pateryn,Greg,DAL/MTL,20833.33
Stralman,Anton,T.B,61643.84
Larsson,Adam,EDM,37974.68
Dowd,Nic,L.A,9000.00
Roussel,Antoine,DAL,36666.67
Lashoff,Brian,DET,130000.00
Byron,Paul,MTL,16049.38
Wennberg,Alex,CBJ,11562.50
Holzer,Korbinian,ANA,21875.00
Marincin,Martin,TOR,48000.00
Provorov,Ivan,PHI,11280.49
Crouse,Lawson,ARI,12847.22
Staal,Jordan,CAR,80000.00
Gordon,Boyd,PHI,73076.92
Lindholm,Elias,CAR,34722.22
Haula,Erik,MIN,14583.33
Blidh,Anton,BOS,41710.53
Cannone,Patrick,MIN,200000.00
Soderberg,Carl,COL,59375.00
Simpson,Dillon,EDM,308333.33
Tavares,John,NYI,77922.08
Nylander,Alex,BUF,231250.00
Elie,Remi,DAL,42638.89
Atkinson,Cam,CBJ,42682.93
Leddy,Nick,NYI,55555.56
Tootoo,Jordin,CHI,15000.00
Russell,Kris,EDM,45588.24
Dumba,Matt,MIN,30921.05
Robinson,Buddy,OTT,187500.00
Skille,Jack,VAN,12727.27
Giordano,Mark,CGY,83333.33
Carpenter,Ryan,S.J,54545.45
Nogier,Nelson,WPG,65000.00
Despres,Simon,ANA,2600000.00
Labanc,Kevin,S.J,12136.36
Stecher,Troy,VAN,13028.17
King,Dwight,L.A/MTL,26250.00
Petry,Jeff,MTL,87500.00
Barber,Riley,WSH,222500.00
Neal,James,NSH,71428.57
Martinez,Alec,L.A,47560.98
Martinook,Jordan,ARI,8116.88
Tatar,Tomas,DET,33536.59
Kuznetsov,Evgeny,WSH,41463.41
Quenneville,John,N.J,70208.33
Orpik,Brooks,WSH,69620.25
Gourde,Yanni,T.B,28750.00
Abdelkader,Justin,DET,85937.50
Vecchione,Mike,PHI,462500.00
Anisimov,Artem,CHI,89843.75
Boucher,Reid,N.J/NSH/VAN,18333.33
