Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP
925000,97-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,L,Chabot,Thomas,D,OTT,1
2250000,93-12-21,Ottawa,ON,CAN,CAN,74,207,2012,1,15,R,Ceci,Cody,D,OTT,79
8000000,88-04-16,St. Paul,MN,USA,USA,72,218,2006,1,7,R,Okposo,Kyle,RW,BUF,65
3500000,92-01-07,Ottawa,ON,CAN,CAN,77,220,2010,1,3,R,Gudbranson,Erik,D,VAN,30
1750000,94-03-29,Toronto,ON,CAN,CAN,76,217,2012,1,16,R,Wilson,Tom,RW,WSH,82
1500000,79-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,L,Campbell,Brian,D,CHI,80
950000,90-11-21,Stockholm,,SWE,SWE,71,185,2009,2,53,L,Rodin,Anton,RW,VAN,3
842500,93-07-28,Toronto,ON,CAN,CAN,70,183,,,,R,Rodrigues,Evan,LW/C,BUF,30
1250000,92-06-14,Scarborough,ON,CAN,CAN,72,214,2010,2,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53
925000,93-04-27,Petawawa,ON,CAN,CAN,68,178,2011,7,201,L,Peca,Matthew,C,T.B,10
800000,86-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46
600000,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010,3,89,L,Chaput,Michael,C,VAN,68
1000000,88-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,R,White,Ryan,C,ARI/MIN,65
925000,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014,1,4,L,Bennett,Sam,C,CGY,81
950000,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007,4,112,R,Sceviour,Colton,C/RW,FLA,80
680000,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012,4,105,L,Kulak,Brett,D,CGY,21
590000,92-04-24,Oakville,ON,CAN,CAN,71,183,2011,7,209,L,Wilson,Scott,LW/C,PIT,78
650000,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,R,Beck,Taylor,LW,EDM/NYR,5
2250000,86-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,Polak,Roman,D,TOR,75
600000,90-10-08,Faribault,MN,USA,USA,76,210,2009,4,114,L,Helgeson,Seth,D,N.J,9
5000000,94-03-09,Vancouver,BC,CAN,CAN,73,215,2012,1,5,L,Rielly,Morgan,D,TOR,76
5250000,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010,1,14,L,Schwartz,Jaden,LW/C,STL,78
925000,96-05-01,Calgary,AB,CAN,SWE,72,190,2014,1,8,R,Nylander,William,C/RW,TOR,81
